date,equity
2023-08-25,996163.0639334294
2023-08-28,996163.0639334294
2023-08-29,996163.0639334294
2023-08-30,996163.0639334294
2023-08-31,996163.0639334294
2023-09-01,996163.0639334294
2023-09-04,996163.0639334294
2023-09-05,1003326.0764721442
2023-09-06,1000803.9132654085
2023-09-07,998829.0122730389
2023-09-08,998829.0122730389
2023-09-11,998829.0122730389
2023-09-12,999819.0122730389
2023-09-13,998851.343045066
2023-09-14,999622.6950253418
2023-09-15,999622.6950253418
2023-09-18,999622.6950253418
2023-09-19,1001515.140051349
2023-09-20,1001515.140051349
2023-09-21,1000340.3159049805
2023-09-22,1000340.3159049805
2023-09-25,999985.1351875166
2023-09-26,999985.1351875166
2023-09-27,999985.1351875166
2023-09-28,999985.1351875166
2023-10-09,999985.1351875166
2023-10-10,999985.1351875166
2023-10-11,999985.1351875166
2023-10-12,999985.1351875166
2023-10-13,999985.1351875166
2023-10-16,999985.1351875166
2023-10-17,999985.1351875166
2023-10-18,999985.1351875166
2023-10-19,999985.1351875166
2023-10-20,999985.1351875166
2023-10-23,999985.1351875166
2023-10-24,999985.1351875166
2023-10-25,999985.1351875166
2023-10-26,999985.1351875166
2023-10-27,999985.1351875166
2023-10-30,999985.1351875166
2023-10-31,999985.1351875166
2023-11-01,999985.1351875166
2023-11-02,999985.1351875166
2023-11-03,999985.1351875166
2023-11-06,999985.1351875166
2023-11-07,998928.95708856
2023-11-08,998295.8793079654
2023-11-09,998295.8793079654
2023-11-10,998295.8793079654
2023-11-13,998295.8793079654
2023-11-14,998295.8793079654
2023-11-15,1002759.8303521908
2023-11-16,1001938.484827436
2023-11-17,1003635.3807796781
2023-11-20,1002682.0819202395
2023-11-21,1002682.0819202395
2023-11-22,1001994.0295869579
2023-11-23,1001994.0295869579
2023-11-24,1001994.0295869579
2023-11-27,1001045.9321441066
2023-11-28,1001045.9321441066
2023-11-29,1001045.9321441066
2023-11-30,1001045.9321441066
2023-12-01,1002881.8996339715
2023-12-04,1002881.8996339715
2023-12-05,1002881.8996339715
2023-12-06,1002881.8996339715
2023-12-07,1002881.8996339715
2023-12-08,1002881.8996339715
2023-12-11,1002881.8996339715
2023-12-12,1003201.8996339715
2023-12-13,1001172.2580504997
2023-12-14,999982.1652181091
2023-12-15,999331.160220531
2023-12-18,999331.160220531
2023-12-19,999331.160220531
2023-12-20,999331.160220531
2023-12-21,999331.160220531
2023-12-22,999331.160220531
2023-12-25,999331.160220531
2023-12-26,997951.6313980218
2023-12-27,997951.6313980218
2023-12-28,998724.9026090719
2023-12-29,997612.9738509711
2024-01-02,996514.9107085827
2024-01-03,996514.9107085827
2024-01-04,995897.1414821629
2024-01-05,995897.1414821629
2024-01-08,995897.1414821629
2024-01-09,997097.1414821629
2024-01-10,996019.4121224947
2024-01-11,996019.4121224947
2024-01-12,996019.4121224947
2024-01-15,996019.4121224947
2024-01-16,996019.4121224947
2024-01-17,996019.4121224947
2024-01-18,996019.4121224947
2024-01-19,996019.4121224947
2024-01-22,996019.4121224947
2024-01-23,996019.4121224947
2024-01-24,996019.4121224947
2024-01-25,996019.4121224947
2024-01-26,996019.4121224947
2024-01-29,994956.3173425872
2024-01-30,993323.8112249784
2024-01-31,993323.8112249784
2024-02-01,993323.8112249784
2024-02-02,993323.8112249784
2024-02-05,993323.8112249784
2024-02-06,993323.8112249784
2024-02-07,993323.8112249784
2024-02-08,993323.8112249784
2024-02-19,993323.8112249784
2024-02-20,993323.8112249784
2024-02-21,993323.8112249784
2024-02-22,993323.8112249784
2024-02-23,993323.8112249784
2024-02-26,993323.8112249784
2024-02-27,993323.8112249784
2024-02-28,993323.8112249784
2024-02-29,993323.8112249784
2024-03-01,993323.8112249784
2024-03-04,993323.8112249784
2024-03-05,993323.8112249784
2024-03-06,993323.8112249784
2024-03-07,993323.8112249784
2024-03-08,993323.8112249784
2024-03-11,993323.8112249784
2024-03-12,993323.8112249784
2024-03-13,993323.8112249784
2024-03-14,993323.8112249784
2024-03-15,993323.8112249784
2024-03-18,993323.8112249784
2024-03-19,993323.8112249784
2024-03-20,993323.8112249784
2024-03-21,993323.8112249784
2024-03-22,993323.8112249784
2024-03-25,993323.8112249784
2024-03-26,993323.8112249784
2024-03-27,993323.8112249784
2024-03-28,993323.8112249784
2024-03-29,993323.8112249784
2024-04-01,993323.8112249784
2024-04-02,993323.8112249784
2024-04-03,993323.8112249784
2024-04-08,993323.8112249784
2024-04-09,993323.8112249784
2024-04-10,993323.8112249784
2024-04-11,993323.8112249784
2024-04-12,993323.8112249784
2024-04-15,993323.8112249784
2024-04-16,993563.8112249784
2024-04-17,992659.2324544914
2024-04-18,992659.2324544914
2024-04-19,992659.2324544914
